Unnamed: 0,issue_id,date,report,Security,summary,description
916,929,3-Sep-08,Issue 929 : www.gameknot.com &quot;Analyze the board&quot; window shows incorrect images 2 problem? 1. Click the &quot;Analyze the board&quot; link below the chess table image. 2. Look at the captured chess pieces images below the table.  ? The captured pieces should look normal.  ? Captured pieces images are incorrect. chrome_gameknot_broken_captured_pieces_image_bug.png 59.5 KB &nbsp; View &nbsp; Download firefox3_gameknot_broken_captured_pieces_correct.png 60.0 KB &nbsp; View &nbsp; Download ,0,"['www', 'gameknot', 'com', 'quotanalyz', 'board', 'quo']","['window', 'show', 'incorrect', 'imag', 'problem', 'click', 'quot', 'analyz', 'board', 'quot', 'link', 'chess', 'tabl', 'imag', 'look', 'captur', 'chess', 'piec', 'imag', 'tabl', 'captur', 'piec', 'look', 'normal', 'captur', 'piec', 'imag', 'incorrect', 'chrome', 'gameknot', 'broken', 'captur', 'piec', 'imag', 'bug', 'png', 'kb', 'nbsp', 'view', 'nbsp', 'download', 'firefox', 'gameknot', 'broken', 'captur', 'piec', 'correct', 'png', 'kb', 'nbsp', 'view', 'nbsp', 'download']"
1307,1327,4-Sep-08,Issue 1327 : get webkit/tools/npapi_layout_test_plugin building on Linux 9     &nbsp;   unit0x03    Sub-task of Issue 1307 . Need to adapt SConscript  wrap win32-isms  and check code. ,0,"['get', 'webkit', 'tool', 'npapi', 'layout', 'test', 'plugin', 'build', 'linux', 'nbs']","['sub', 'task', 'issu', 'need', 'adapt', 'sconscript', 'wrap', 'win', 'ism', 'check', 'code']"
1524,1548,5-Sep-08,Issue 1548 : Chrome advert appears on google's home page even when using Chrome 1 person starred this issue and may be notified of changes.   &nbsp;   ffm246      : &lt;see about:version&gt; URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:  ? 1. Visit the Google home page.  ? I see the home page.  ? The page is displayed as well as a &quot;New! Download Chrome (BETA) - the new browser from Google&quot;  even though I already have Chrome installed. ,0,"['chrome', 'advert', 'appear', 'googl', 'home', 'page', 'even', 'use', 'chrome', 'person', 'star', 'issu', 'may', 'notifi', 'chang', 'nbs']","['ffm', 'lt', 'see', 'version', 'gt', 'url', 'applic', 'safari', 'firefox', 'ie', 'visit', 'googl', 'home', 'page', 'see', 'home', 'page', 'page', 'display', 'well', 'quot', 'new', 'download', 'chrome', 'beta', 'new', 'browser', 'googl', 'quot', 'even', 'though', 'alreadi', 'chrome', 'instal']"
1606,1630,6-Sep-08,Issue 1630 : Pictures Shown Behind Menu Bars on Websites 4     &nbsp;   dimanic    Check out the home-page of this website: http://www.ecanadaplus.com/ Put the cursor over the link &quot;FTA Satellite&quot;  then put the cursor over &quot;FTA Recievers&quot; and you'll notice that the menu links are cut off and displayed behind the site's main image. This does not occur in other browsers. It looks like a Javascript extension issue. Check it out... HOLLER! :D P.S. are you guys hiring in Canada for summer intern students? I'm in Electrical Engineering at U of T  I've done Linux web server development  for servers comprised purely in C++ executables. E-mail me at dj_4ward@hotmail.com ,0,"['pictur', 'shown', 'behind', 'menu', 'bar', 'websit', 'nbs']","['diman', 'check', 'home', 'page', 'websit', 'put', 'cursor', 'link', 'quot', 'fta', 'satellit', 'quot', 'put', 'cursor', 'quot', 'fta', 'reciev', 'quot', 'notic', 'menu', 'link', 'cut', 'display', 'behind', 'site', 'main', 'imag', 'occur', 'browser', 'look', 'like', 'javascript', 'extens', 'issu', 'check', 'holler', 'p', 'guy', 'hire', 'canada', 'summer', 'intern', 'student', 'electr', 'engin', 'u', 'done', 'linux', 'web', 'server', 'develop', 'server', 'compris', 'pure', 'c', 'execut', 'e', 'mail', 'dj', 'ward', 'hotmail', 'com']"
1618,1642,6-Sep-08,Issue 1642 : Google reader fails to load fully 2 problem? 1. Open google reader. 2. click &quot;All items&quot; 3. wait.  ? The reader shows the &quot;loading&quot; lable  and never shows the rest. at the same time google reader loads quickly on FireFox.  ?     ,0,"['googl', 'reader', 'fail', 'load', 'fulli', 'probl']","['open', 'googl', 'reader', 'click', 'quot', 'item', 'quot', 'wait', 'reader', 'show', 'quot', 'load', 'quot', 'labl', 'never', 'show', 'rest', 'time', 'googl', 'reader', 'load', 'quick', 'firefox']"
2020,2049,10-Sep-08,Issue 2049 : Chromium new tab page icon distorted 1 person starred this issue and may be notified of changes.   &nbsp;   creis@chromium.org     ? 1. Open a new tab in Chromium 2. 3. What is the expected output? What do you see instead? The Chromium icon in the upper right appears to be shorter and wider than it should be. Please use labels and text to provide additional information. ,0,"['chromium', 'new', 'tab', 'page', 'icon', 'distort', 'person', 'star', 'issu', 'may', 'notifi', 'chang', 'nbs']","['crei', 'chromium', 'org', 'open', 'new', 'tab', 'chromium', 'expect', 'output', 'see', 'instead', 'chromium', 'icon', 'upper', 'right', 'appear', 'shorter', 'wider', 'pleas', 'use', 'label', 'text', 'provid', 'addit', 'inform']"
2097,2128,11-Sep-08,Issue 2128 : Feature Request: Identifying resource hungry tabs &lsaquo; Prev 5970 of 14147 Next &rsaquo; 5     &nbsp;   tehalynn    The ability to view the resources each tab is using struck me as a really nice feature. This would theoretically enable you to determine which tabs are eating up your cpu and/or memory and deal with them. The problem is  it doesn't. Significant resource usage often is from a plugin the page uses  for example  an embedded flash object. However  the resources that a plugin is using are not shown under the tabs that use that plugin  they're shown under the plugin. Even if 3 tabs are using flash  the resources that flash is using are all shown under &quot;Plug-in: Shockwave Flash&quot;. If the flash object in one of the tabs is using significantly more cpu than the other 2  you have no way of telling which tab is the culprit. I propose a hierarchical display in the task manager. Tabs in the task manager would by default be collapsed  but when you expand them  you would see what plug-ins the tab is using. The plug-ins under the tab would list their resource use that is local to that tab. The tab's resource use would be equal to its resource use plus the sum of the resource use of the plug-ins under it. I don't know if this can be (easily) done  but I do know that if it isn't  then the task manager won't be much use to me. ,0,"['featur', 'request', 'identifi', 'resourc', 'hungri', 'tab', 'lsaqu']","['prev', 'next', 'rsaquo', 'nbsp', 'tehalynn', 'abil', 'view', 'resourc', 'tab', 'use', 'struck', 'realli', 'nice', 'featur', 'would', 'theoret', 'enabl', 'determin', 'tab', 'eat', 'cpu', 'memori', 'deal', 'problem', 'signific', 'resourc', 'usag', 'often', 'plugin', 'page', 'use', 'exampl', 'embed', 'flash', 'object', 'howev', 'resourc', 'plugin', 'use', 'shown', 'tab', 'use', 'plugin', 'shown', 'plugin', 'even', 'tab', 'use', 'flash', 'resourc', 'flash', 'use', 'shown', 'quot', 'plug', 'shockwav', 'flash', 'quot', 'flash', 'object', 'one', 'tab', 'use', 'signific', 'cpu', 'way', 'tell', 'tab', 'culprit', 'propos', 'hierarch', 'display', 'task', 'manag', 'tab', 'task', 'manag', 'would', 'default', 'collaps', 'expand', 'would', 'see', 'plug', 'in', 'tab', 'use', 'plug', 'in', 'tab', 'would', 'list', 'resourc', 'use', 'local', 'tab', 'tab', 'resourc', 'use', 'would', 'equal', 'resourc', 'use', 'plus', 'sum', 'resourc', 'use', 'plug', 'in', 'know', 'easili', 'done', 'know', 'task', 'manag', 'much', 'use']"
2104,2135,11-Sep-08,Issue 2135 : There are some incorrect translations in Czech (cs) translation &lsaquo; Prev 195 of 14147 Next &rsaquo; 3 problem? 1. Look into file generated_resources_cs.xtb. 2. There are some incorrect translations. &lt;translation id=&quot;2356762928523809690&quot;&gt;Aktualizace serveru nenÃ­ dostupnÃ¡ (chyba: &lt;ph name=&quot;ERROR_NUMBER&quot;/&gt;)&lt;/translation&gt; Correct translation is: &quot;AktualizaÄnÃ­ server nenÃ­ dostupnÃ½ (chyba: &lt;ph name=&quot;ERROR_NUMBER&quot;/&gt;)&quot; &lt;translation id=&quot;6295228342562451544&quot;&gt;KdyÅ¾ se pÅipojÃ­te k zabezpeÄenÃ½m webovÃ½m strÃ¡nkÃ¡m  server  na kterÃ©m jsou takovÃ© strÃ¡nky hoÅ¡tÄny  pÅedloÅ¾Ã­ vaÅ¡emu prohlÃ­Å¾eÄi takzvanÃ½ âcertifikÃ¡tâ? kterÃ½m se ovÄÅuje identita takovÃ©ho serveru. CertifikÃ¡t obsahuje informace o identitÄ  napÅÃ­klad adresu webovÃ½ch strÃ¡nek  kterÃ© ovÄÅuje tÅetÃ­ strana  kterÃ© vÃ¡Å¡ poÄÃ­taÄ dÅ¯vÄÅuje. Kontrolou  zda adresa v certifikÃ¡tu odpovÃ­dÃ¡ adrese webovÃ½ch strÃ¡nek  je moÅ¾nÃ© ovÄÅit  Å¾e bezpeÄnÄ komunikujete s poÅ¾adovanÃ½mi webovÃ½mi strÃ¡nkami a ne s tÅetÃ­ stranou (napÅÃ­klad s ÃºtoÄnÃ­kem na vaÅ¡i sÃ­Å¥).&lt;/translation&gt; I don't know what word &quot;hoÅ¡tÄny&quot; means. This is not czech word. Maybe translator means &quot;hostovÃ¡ny&quot;.  ?  ?     ,0,"['incorrect', 'translat', 'czech', 'cs', 'translat', 'lsaqu']","['prev', 'next', 'rsaquo', 'problem', 'look', 'file', 'generat', 'resourc', 'cs', 'xtb', 'incorrect', 'translat', 'lt', 'translat', 'id', 'quot', 'quot', 'gt', 'aktualizac', 'serveru', 'nen', 'dostupn', 'chyba', 'lt', 'ph', 'name', 'quot', 'error', 'number', 'quot', 'gt', 'lt', 'translat', 'gt', 'correct', 'translat', 'quot', 'aktualiza', 'n', 'server', 'nen', 'dostupn', 'chyba', 'lt', 'ph', 'name', 'quot', 'error', 'number', 'quot', 'gt', 'quot', 'lt', 'translat', 'id', 'quot', 'quot', 'gt', 'kdi', 'se', 'p', 'ipoj', 'te', 'k', 'zabezp', 'en', 'webov', 'str', 'nk', 'server', 'na', 'kter', 'jsou', 'takov', 'str', 'nki', 'ho', 'ny', 'p', 'edlo', 'va', 'emu', 'prohl', 'e', 'takzvan', 'certifik', 'kter', 'se', 'ov', 'uje', 'identita', 'takov', 'ho', 'serveru', 'certifik', 'obsahuj', 'informac', 'identit', 'nap', 'klad', 'adresu', 'webov', 'ch', 'str', 'nek', 'kter', 'ov', 'uje', 'et', 'strana', 'kter', 'v', 'po', 'ta', 'v', 'uje', 'kontrolou', 'zda', 'adresa', 'v', 'certifik', 'tu', 'odpov', 'adres', 'webov', 'ch', 'str', 'nek', 'je', 'mo', 'n', 'ov', 'e', 'bezp', 'n', 'komunikujet', 'po', 'adovan', 'mi', 'webov', 'mi', 'str', 'nkami', 'ne', 'et', 'stranou', 'nap', 'klad', 'n', 'kem', 'na', 'va', 'lt', 'translat', 'gt', 'know', 'word', 'quot', 'ho', 'ny', 'quot', 'mean', 'czech', 'word', 'mayb', 'translat', 'mean', 'quot', 'hostov', 'ny', 'quot']"
2201,2234,13-Sep-08,Issue 2234 : Bookmarking startpage 1 person starred this issue and may be notified of changes.   &nbsp;   the.spikey      : 0.2.153.0 (build 2052) URLs (if applicable) : -   Chrom(e/ium) related.  ? 1. Start Chromium or open a new tab 2. Press the bookmark button left of the URL bar 3. Look at the &quot;Recent bookmarks&quot; block.  ? Nothing should change.  ? The list duplicates itself on bookmark  and duplicates again on removal. ,0,"['bookmark', 'startpag', 'person', 'star', 'issu', 'may', 'notifi', 'chang', 'nbs']","['spikey', 'build', 'url', 'applic', 'chrom', 'e', 'ium', 'relat', 'start', 'chromium', 'open', 'new', 'tab', 'press', 'bookmark', 'button', 'left', 'url', 'bar', 'look', 'quot', 'recent', 'bookmark', 'quot', 'block', 'noth', 'chang', 'list', 'duplic', 'bookmark', 'duplic', 'remov']"
2344,2379,16-Sep-08,Issue 2379 : Unable to download message attachments in gmail 2 problem? 1. Try to download an email attachment in GMail.  ? A dialog box asking to where to download the attachment.  ? Nothing ,0,"['unabl', 'download', 'messag', 'attach', 'gmail', 'probl']","['tri', 'download', 'email', 'attach', 'gmail', 'dialog', 'box', 'ask', 'download', 'attach', 'noth']"
2510,2546,19-Sep-08,Issue 2546 : Problems removing event handlers &lsaquo; Prev 3454 of 14147 Next &rsaquo; 3 problem? 1. Create an event handler for &quot;onload&quot; or &quot;onerror&quot; 2. try to delete the event handler by setting it to &quot;undefined&quot; or &quot;null&quot; or deleting it using &quot;delete&quot;.  ? The event handler is set to &quot;undefined&quot; or &quot;null&quot; or an exception is thrown.  ? The event handler still exists after it has been set to &quot;undefined&quot; or deleted using &quot;delete&quot; but no exception is thrown. (Setting to &quot;null&quot; works)     Please load the URL provided in various browser to see the results. Here are my findings: IE: OK: deleting using &quot;delete&quot; or setting to &quot;undefined&quot; both throw an exception. Setting to &quot;null&quot; works. FF3: OK:Setting to &quot;undefined&quot; and &quot;null&quot; both work. FAIL: deleting using &quot;delete&quot; does not actually remove the event handler and no exception is thrown. Opera: OK: Setting to &quot;undefined&quot; and &quot;null&quot; both work as well as deleting using &quot;delete&quot;  except for &quot;delete onload&quot;. FAIL: &quot;delete onload&quot; does not throw an error  but the event handler is not removed. Safari: OK: Setting to &quot;null&quot; works. Partial: Setting to &quot;undefined&quot; will set the event handler to &quot;null&quot; as well  which is unexpected  but at least the handler is gone. FAIL: deleting using &quot;delete&quot; does not remove the event handler and does not throw an exception. ,0,"['problem', 'remov', 'event', 'handler', 'lsaqu']","['prev', 'next', 'rsaquo', 'problem', 'creat', 'event', 'handler', 'quot', 'onload', 'quot', 'quot', 'onerror', 'quot', 'tri', 'delet', 'event', 'handler', 'set', 'quot', 'undefin', 'quot', 'quot', 'null', 'quot', 'delet', 'use', 'quot', 'delet', 'quot', 'event', 'handler', 'set', 'quot', 'undefin', 'quot', 'quot', 'null', 'quot', 'except', 'thrown', 'event', 'handler', 'still', 'exist', 'set', 'quot', 'undefin', 'quot', 'delet', 'use', 'quot', 'delet', 'quot', 'except', 'thrown', 'set', 'quot', 'null', 'quot', 'work', 'pleas', 'load', 'url', 'provid', 'various', 'browser', 'see', 'result', 'find', 'ie', 'ok', 'delet', 'use', 'quot', 'delet', 'quot', 'set', 'quot', 'undefin', 'quot', 'throw', 'except', 'set', 'quot', 'null', 'quot', 'work', 'ff', 'ok', 'set', 'quot', 'undefin', 'quot', 'quot', 'null', 'quot', 'work', 'fail', 'delet', 'use', 'quot', 'delet', 'quot', 'actual', 'remov', 'event', 'handler', 'except', 'thrown', 'opera', 'ok', 'set', 'quot', 'undefin', 'quot', 'quot', 'null', 'quot', 'work', 'well', 'delet', 'use', 'quot', 'delet', 'quot', 'except', 'quot', 'delet', 'onload', 'quot', 'fail', 'quot', 'delet', 'onload', 'quot', 'throw', 'error', 'event', 'handler', 'remov', 'safari', 'ok', 'set', 'quot', 'null', 'quot', 'work', 'partial', 'set', 'quot', 'undefin', 'quot', 'set', 'event', 'handler', 'quot', 'null', 'quot', 'well', 'unexpect', 'least', 'handler', 'gone', 'fail', 'delet', 'use', 'quot', 'delet', 'quot', 'remov', 'event', 'handler', 'throw', 'except']"
3157,3214,7-Oct-08,Issue 3214 : Cnn.com stream doesn't work 7 problem? 1. Pull up the url 2. 3.  ? An error that stream is not avaialble  ?     0 bytes &nbsp; Download ,0,"['cnn', 'com', 'stream', 'work', 'probl']","['pull', 'url', 'error', 'stream', 'avaialbl', 'byte', 'nbsp', 'download']"
3294,3357,12-Oct-08,Issue 3357 : Need multi-color TABs &lsaquo; Prev 6019 of 14147 Next &rsaquo; 4 problem? 1. Currently all the TABs are colored same - blue while the one in focus is different - white (I like this a lot). But there should be a way to color other TABs if needed. It further could be based on the organization of bookmarks - e.g. work related bookmarks would have TABs open painted blue  hobby related bookmarks would have TABs opened painted green etc. 2. 3.  ?  ?     ,0,"['need', 'multi', 'color', 'tab', 'lsaqu']","['prev', 'next', 'rsaquo', 'problem', 'current', 'tab', 'color', 'blue', 'one', 'focus', 'differ', 'white', 'like', 'lot', 'way', 'color', 'tab', 'need', 'could', 'base', 'organ', 'bookmark', 'e', 'g', 'work', 'relat', 'bookmark', 'would', 'tab', 'open', 'paint', 'blue', 'hobbi', 'relat', 'bookmark', 'would', 'tab', 'open', 'paint', 'green', 'etc']"
3393,3461,15-Oct-08,Issue 3461 : Scrolling while viewing video within a flash website lag 1 person starred this issue and may be notified of changes.   &nbsp;   Tsuxiau      : 0.2.149.30 URLs (if applicable) : http://www.psyop.tv/main.php   Yes  : Safari 3: Firefox 3: OK IE 7: FAILS AT FLASH PERIOD.  ? 1. Go to site 2. Click skip 3. Click on &quot;New&quot; 4. Click on any video 5. When video plays try scrolling  ? The video to play and not screw up.  ? It freezes up and lags.     I noticed that Google Chrome lags up quite a bit at random points... ,0,"['scroll', 'view', 'video', 'within', 'flash', 'websit', 'lag', 'person', 'star', 'issu', 'may', 'notifi', 'chang', 'nbs']","['tsuxiau', 'url', 'applic', 'yes', 'safari', 'firefox', 'ok', 'ie', 'fail', 'flash', 'period', 'go', 'site', 'click', 'skip', 'click', 'quot', 'new', 'quot', 'click', 'video', 'video', 'play', 'tri', 'scroll', 'video', 'play', 'screw', 'freez', 'lag', 'notic', 'googl', 'chrome', 'lag', 'quit', 'bit', 'random', 'point']"
